nom,total_wealth
briand,691165382.0
PELLENC,169165656.0
MARTIN,97023523.0
Crémont,93187917.0
Renaud Garabedian,72178400.0
COUTIERE,68947932.0
Maillard,55665800.0
VERNY,49020000.0
Ferracci,45344895.0
MORIN,41331154.0
DOMINICI,40897236.0
Morel,40641109.0
Cayeux,37749612.0
DUBOST,36334405.0
Fountaine,35000000.0
MICHOUX,27865644.0
Ruelle,25357407.0
LEROY,25073634.0
Alfandari,23049705.0
PEROTTINO,22769265.0
Riester,21334739.0
Lombard,21021514.0
Vogel,20695052.0
MIRAVETE,18776500.0
PARA,17989898.0
Muselier,17426379.0
JOURDAIN,15789500.0
Pecresse,14638522.0
BLANCHET,14275814.0
BLANC,14072141.0
CECCOLI,14054910.0
Levy,13476634.0
RUAS,12905030.0
VIALATTE,12349874.0
marolleau,11116025.0
POMERET,10796968.0
PAINEAU,10309486.0
TREMEGE,10287284.0
RIGAUD,9803712.0
de JENLIS,9735854.0
Copé,9657567.0
DE CANSON,9656500.0
CADIC,9210000.0
Giscard d'Estaing,9079786.0
chartreux,8513448.0
CHATILLON,8489733.0
GIRARD,8229513.0
Missoffe,8098954.0
de NICOLAY,8000000.0
FAYSSAT,7762994.0
naegelen,7550043.0
Bernard,7143388.0
de Lasteyrie,6542225.0
Roques,6528052.0
LASSALLE,6320607.0
beauchamps,5940000.0
DE MONTGOLFIER,5750512.0
NOUGEIN,5379076.0
dario,5301000.0
JENFT,5274049.0
vigier,5168930.0
de Bourrousse,5000000.0
NOUVELOT,4953965.0
jardé,4659604.0
HOURQUET,4375656.0
Sido,4097790.0
POINTEREAU,4058316.0
Pezzetta,4024036.0
DOUCET,4002682.0
LAPORTE,3932000.0
PLAGNEUX,3922798.0
NICOLAS,3681406.0
BATAILLE,3628545.0
PEDUZZI,3611481.0
COLIN,3585172.0
Méary,3584166.0
Firmin Le Bodo,3571735.0
Callet,3560000.0
Jamet,3555915.0
IMBERT,3533084.0
PERAZIO,3450810.0
ISABELLE,3351085.0
Blanchet,3341606.0
Braun-Pivet,3311904.0
TEMARU,3262373.0
CHAIX,3231525.0
BRARD,3100000.0
BENEVENTI,3084768.0
Thieriot,3061500.0
lucas,3039691.0
BELIN,3020800.0
BREMOND,2931504.0
GENIS,2922458.0
JULLEMIER,2800000.0
Leroy,2798392.0
de bazelaire,2759932.0
VEAU,2753106.0
vogel,2652280.0
DAUSSAN-WEIZMAN,2642844.0
Gras,2559982.0
Hugonet,2541057.0
MILLION,2534930.0
DUPIRE,2500000.0
Battail,2362040.0
SAEIDI,2351948.0
Sautarel,2282363.0
zerkani,2279019.0
SEBEYRAN,2263166.0
Bringer,2230251.0
DE CALAN,2214000.0
NIRLO,2198829.0
Bercault,2184000.0
SERRUS,2180376.0
GINESY,2145500.0
meriaux,2144400.0
LEDOUBLE,2125100.0
PIGRENET,2080506.0
ROULLE,2080000.0
DOMEN,2066668.0
GUICHARD,1970250.0
michel,1969032.0
VIAUD,1965951.0
FISCHER,1962500.0
THIRIET,1950026.0
Joyandet,1948100.0
THIEN AH KOON,1901928.0
Cazabonne,1882244.0
FICHERE,1869000.0
Riffaud,1835544.0
GUILLON,1832000.0
pericard,1810604.0
PAUGET,1810046.0
JULIEN-EMMANUEL-LUREL,1800000.0
DARRASSE,1790120.0
Amar,1771000.0
PETIT,1767566.0
Gassilloud,1760800.0
Phélippeau,1712700.0
BABOUHOT,1690200.0
DEVAUTOUR,1685449.0
JACQUEMET,1685403.0
RIGOLLOT,1675972.0
HURMIC,1666000.0
BAZILLE,1656000.0
GERARD,1655104.0
GRIGNON,1650000.0
SCHMIT,1646241.0
LECOUFLE,1637721.0
Dejean de La Batie,1620000.0
DEJOIE,1608600.0
soussi,1591500.0
menache,1580228.0
CONCAS,1571000.0
AMSLER,1535760.0
LEGENDRE,1534500.0
Barraud,1530000.0
de Carolis,1530000.0
